key,Perm,Porosity,RelPermAlpha,RelPermN,SatAlpha,SatN,SatSRes,SatSSat
domain,0.02,0.33,1,3,1,3,0.001,1
s1,0.269022595,0.375,3.548,4.162,3.548,4.162,0.0001,1
s2,0.043630356,0.39,3.467,2.738,3.467,2.738,0.0001,1
s3,0.015841225,0.387,2.692,2.445,2.692,2.445,0.0001,1
s4,0.007582087,0.439,0.501,2.659,0.501,2.659,0.1,1
s5,0.01818816,0.489,0.661,2.659,0.661,2.659,0.0001,1
s6,0.005009435,0.399,1.122,2.479,1.122,2.479,0.0001,1
s7,0.005492736,0.384,2.089,2.318,2.089,2.318,0.0001,1
s8,0.004675077,0.482,0.832,2.514,0.832,2.514,0.0001,1
s9,0.003386794,0.442,1.585,2.413,1.585,2.413,0.0001,1
s10,0.004783973,0.385,3.311,2.202,3.311,2.202,0.0001,1
s11,0.003979136,0.481,1.622,2.318,1.622,2.318,0.0001,1
s12,0.006162952,0.459,1.514,2.259,1.514,2.259,0.0001,1
s13,0.005009435,0.399,1.122,2.479,1.122,2.479,0.0001,1
g1,5.00E-03,-,-,-,-,-,-,-
g2,1.00E-02,-,-,-,-,-,-,-
g3,2.00E-02,-,-,-,-,-,-,-
g4,3.00E-02,-,-,-,-,-,-,-
g5,4.00E-02,-,-,-,-,-,-,-
g6,5.00E-02,-,-,-,-,-,-,-
g7,6.00E-02,-,-,-,-,-,-,-
g8,8.00E-02,-,-,-,-,-,-,-
g9,0.1,-,-,-,-,-,-,-
g10,0.2,-,-,-,-,-,-,-
